"R0000100","R0000500","R0000300","R0000400","R0410300","R0410100","R0410200","R0000900","R0001000","R0219114","R0006200","R0006300","R0007400","R0007500"
3427,1963,1,6,1960,7,11,769,30,44,-4,-4,75,-4
3428,1959,11,1,-5,11,23,815,4,23,79,29,48,19
3429,1964,11,18,1960,8,21,442,21,17,49,14,26,-2
3430,1962,1,7,1962,11,2,-4,14,27,50,20,14,19
3431,1964,8,10,-5,4,12,305,71,39,-2,-4,30,5
3432,1958,7,8,1958,8,12,-4,57,22,66,9,67,-4
3433,1961,4,5,-5,3,-5,-1,44,20,20,25,16,50
3434,1960,10,25,1959,1,22,610,18,29,-1,45,27,-4
3435,1958,9,4,1961,8,19,77,42,13,32,9,-2,48
3436,1960,12,7,1958,3,9,702,27,-4,58,-3,45,21
3437,1958,7,14,1963,-5,22,-4,76,-4,71,3,-2,31
3438,1958,1,-3,1957,-5,21,243,65,48,31,45,52,30
3439,1961,12,27,-5,7,11,822,63,34,18,16,53,17
3440,1958,4,14,-5,-5,17,-2,63,-3,18,29,-2,4
3441,1963,5,11,1957,2,21,-1,52,17,71,-3,13,36
3442,1962,11,19,1957,8,4,-2,68,25,40,1,30,26
3443,1959,11,24,1960,6,4,-4,7,17,-1,29,71,37
3444,1960,4,26,1959,4,27,623,63,16,17,-2,-2,40
3445,1959,12,13,-5,11,8,294,-1,-4,8,44,25,34
3446,1957,12,-3,-5,3,-5,250,19,24,42,-3,32,-4
3447,1961,11,14,1959,-5,10,761,56,-3,59,27,28,39
3448,1961,6,4,1962,-5,2,51,38,25,-4,13,4,39
3449,1958,4,11,1958,8,7,741,-2,46,79,18,43,42
3450,1959,1,-2,1963,7,24,42,37,20,-4,12,64,10
3451,1963,7,6,-5,5,29,207,51,19,37,24,60,-3
3452,1962,8,15,1961,11,4,413,26,-4,1,16,16,-4
3453,1963,2,8,-5,5,18,751,12,46,66,-2,24,39
3454,1961,4,5,1962,1,12,561,18,7,21,37,7,45
3455,1961,12,18,1957,7,-5,525,57,-4,-3,-4,46,45
3456,1959,11,30,1964,10,-5,496,-4,31,68,34,59,-2
3457,1964,1,5,1959,9,27,83,77,26,1,39,-2,15
3458,1962,12,-3,-5,8,12,751,-2,30,-1,6,29,13
3459,1957,9,16,1964,2,21,281,16,41,68,-2,1,-4
3460,1963,1,14,1962,10,5,565,75,9,17,23,60,8
3461,1961,4,13,1959,6,30,475,-1,42,56,28,-4,8
3462,1957,4,26,1960,6,-5,499,49,-3,40,15,49,15
3463,1962,4,10,1958,3,30,746,65,-4,16,18,-4,3
3464,1957,1,-3,1961,8,24,262,64,38,-3,49,-4,36
3465,1957,8,-2,-5,5,6,539,24,-4,54,49,-3,36
3466,1957,4,-3,1960,-5,-5,175,-3,-3,8,-3,46,43
3467,1963,6,17,1962,-5,14,-3,43,-4,-2,-4,-4,8
3468,1964,8,31,-5,1,21,56,30,23,33,3,-2,9
3469,1957,9,19,1961,5,12,101,-3,37,-3,38,11,5
3470,1957,9,-3,-5,4,18,32,50,48,67,15,-4,44
3471,1958,12,14,1957,9,-5,325,-3,32,49,44,9,30
3472,1961,3,24,1957,-5,21,286,45,-3,5,29,53,27
3473,1958,1,-3,-5,6,8,204,7,38,12,-4,58,5
3474,1957,7,22,-5,11,3,144,-4,-4,4,25,28,12
3475,1958,10,11,1962,-5,6,98,5,42,48,-2,30,31
3476,1963,10,26,1962,-5,5,746,-2,-3,16,48,-2,3
3477,1959,6,24,1960,7,26,446,19,12,49,14,-3,-2
3478,1957,6,22,1961,3,27,-1,-2,-3,54,6,5,34
3479,1963,3,18,-5,-5,10,435,59,28,69,37,62,49
3480,1962,8,-2,1961,8,27,724,9,33,12,-4,29,14
3481,1960,5,-2,1964,5,31,-4,-2,1,-3,35,78,-2
3482,1963,9,-3,1960,4,14,96,77,-3,32,34,70,47
3483,1964,3,-3,1959,6,8,182,12,29,43,17,63,49
3484,1960,9,18,-5,3,1,363,5,11,67,10,-4,-4
3485,1957,3,-3,1962,12,12,205,62,-3,40,23,61,26
3486,1961,8,6,1961,9,4,758,-3,17,68,-3,11,48
3487,1961,5,19,1962,1,-5,-4,28,41,-3,25,46,-2
3488,1963,4,-2,1964,7,14,-2,1,21,59,45,8,-3
3489,1957,8,13,1961,1,-5,445,61,34,13,34,-4,-4
3490,1963,11,-3,1957,-5,7,493,69,33,64,12,66,-3
3491,1957,10,8,-5,8,6,151,-4,27,15,17,49,20
3492,1963,9,14,1957,8,-5,-4,46,43,52,-2,-3,-2
3493,1960,7,26,1964,1,9,-1,64,29,1,41,2,26
3494,1957,2,19,1962,-5,25,163,-1,-3,-1,-3,18,49
3495,1959,9,-3,1959,4,13,722,3,23,-1,32,74,38
3496,1963,6,19,1957,3,6,773,-4,49,34,15,53,14
3497,1962,11,14,1960,11,29,147,46,7,43,34,28,36
3498,1960,5,29,1957,4,11,-4,62,30,7,8,67,1
3499,1960,11,1,1964,11,10,338,-2,35,79,3,71,-3
3500,1960,9,30,1963,5,6,679,41,-3,6,-4,36,48
3501,1964,11,-2,1958,12,4,-3,14,1,71,3,3,-3
3502,1960,11,5,1964,5,17,401,68,16,30,20,34,26
3503,1962,6,11,1962,-5,4,265,29,37,13,-2,53,29
3504,1959,10,14,1963,12,5,775,-2,13,54,29,-2,-4
3505,1957,2,26,1960,5,-5,750,-4,37,41,33,-3,-2
3506,1961,7,21,1957,9,9,-2,23,33,66,2,66,-3
3507,1964,8,-2,1957,9,2,147,78,14,43,14,75,34
3508,1961,1,20,1958,7,26,-1,-3,2,75,7,79,31
3509,1958,5,2,1961,8,28,97,48,12,67,31,62,-4
3510,1962,9,29,1957,12,30,538,27,19,-2,7,59,43
3511,1963,9,4,1957,4,28,503,32,23,-3,-4,-4,18
3512,1958,7,2,1961,3,24,1,33,43,33,50,14,50
3513,1960,1,-2,1957,3,13,668,-2,-3,-2,8,13,-4
3514,1958,8,27,1960,3,6,382,61,-4,66,16,26,49
3515,1957,7,15,1961,2,10,507,69,18,37,29,27,3
3516,1963,6,5,-5,8,24,-1,-4,26,56,40,56,-2
3517,1957,5,-3,1958,7,5,92,3,8,74,-3,1,-2
3518,1964,1,15,1957,11,-5,94,10,13,27,39,-3,4
3519,1959,11,18,1964,6,21,139,29,45,19,42,9,4
3520,1964,4,-2,1963,12,17,702,78,-4,74,19,-2,32
3521,1958,7,5,-5,-5,26,586,41,31,11,6,-3,-2
3522,1957,11,27,-5,6,7,-4,48,44,8,-3,14,1
3523,1957,5,13,-5,11,-5,213,35,36,67,39,48,24
3524,1959,12,13,1958,1,30,698,6,31,-2,34,58,50
3525,1962,2,24,-5,4,12,-1,68,25,71,12,19,11
3526,1962,5,15,1958,7,22,-3,48,40,58,-2,64,50
3527,1957,10,12,1959,6,28,-1,70,48,14,44,32,29
3528,1957,5,4,-5,9,11,-2,37,33,59,26,58,-2
3529,1960,10,31,1957,4,-5,730,73,-4,51,27,19,-3
3530,1964,8,6,1958,1,15,-2,49,7,1,18,37,23
3531,1964,10,-2,1959,9,28,-2,-4,50,43,-4,-4,36
3532,1957,4,8,-5,9,21,150,12,-4,-4,40,57,-2
3533,1963,4,-2,1958,6,-5,466,77,10,54,28,15,11
3534,1961,7,-3,1959,10,-5,264,11,45,-2,28,70,35
3535,1964,1,-2,1962,-5,13,-3,62,-3,53,47,-4,47
3536,1959,6,16,1963,1,18,586,1,-3,25,45,60,31
3537,1959,7,7,1963,-5,17,300,36,-3,20,43,-3,14
3538,1958,9,27,1963,9,4,631,25,12,15,13,70,-4
3539,1960,1,-3,1959,-5,20,229,9,14,-2,45,-4,16
3540,1960,5,-3,1959,6,14,215,54,20,49,32,30,26
3541,1961,8,30,1963,6,21,779,70,6,52,35,-4,6
3542,1964,8,-2,-5,-5,15,268,27,50,54,44,-4,7
3543,1957,8,10,1958,4,16,26,53,38,-1,20,9,46
3544,1958,2,8,1963,12,7,-1,71,43,23,50,4,12
3545,1960,1,19,1962,-5,20,715,24,7,26,23,58,11
3546,1963,9,7,1957,6,13,658,63,46,7,15,59,2
3547,1961,6,16,1960,2,4,428,-3,4,-4,-4,60,8
3548,1957,9,20,-5,5,17,417,-3,22,-2,-3,3,-2
3549,1959,3,5,-5,8,12,634,28,47,2,47,32,49
3550,1959,2,10,1957,8,19,-1,71,3,68,-4,44,6
3551,1959,11,-2,1959,8,23,24,23,21,22,41,29,-3
3552,1959,10,4,-5,7,10,419,23,46,10,3,4,23
3553,1959,9,23,1963,4,15,340,63,50,11,40,23,39
3554,1961,12,2,1963,-5,-5,-4,3,5,-4,43,50,27
3555,1960,6,3,1960,3,27,800,4,-4,-3,50,43,-3
3556,1958,5,10,1957,10,-5,9,-1,11,60,30,42,27
3557,1961,3,10,1963,-5,27,833,18,41,67,-3,16,-2
3558,1960,7,20,1957,5,-5,593,75,-3,-2,-3,68,20
3559,1964,9,5,1959,-5,-5,718,57,35,14,-4,56,49
3560,1962,2,28,1964,-5,15,-2,73,5,24,37,17,48
3561,1959,7,16,1960,4,26,60,65,-4,43,33,-2,42
3562,1961,12,-3,-5,1,11,774,6,20,25,2,58,29
3563,1962,1,27,1963,3,7,805,28,18,21,34,45,-4
3564,1963,6,12,1957,11,16,473,12,28,11,4,70,26
3565,1960,3,-3,1961,-5,8,460,50,26,18,21,21,41
3566,1962,6,7,1963,-5,-5,164,61,37,-3,10,55,13
3567,1957,11,1,1961,-5,-5,764,3,38,42,35,-4,32
3568,1960,9,-3,1964,1,22,-4,49,50,16,2,59,2
3569,1961,2,4,1963,12,19,66,-3,-3,44,30,31,35
3570,1961,2,8,1959,8,21,-1,-1,-4,79,38,-3,1
3571,1960,9,24,1964,12,30,-1,11,10,24,24,-2,-2
3572,1959,9,4,-5,10,20,131,11,33,38,-2,43,45
3573,1960,1,13,1958,9,-5,469,24,4,71,26,27,-4
3574,1957,1,8,1958,6,26,367,18,19,-1,30,66,18
3575,1962,2,6,1959,7,7,415,8,20,-3,-4,4,-3
3576,1961,8,30,1963,12,16,189,-3,14,-3,24,58,26
3577,1958,6,-3,1960,-5,24,-3,65,35,79,-3,39,-4
3578,1960,9,16,1964,12,20,244,-3,3,17,31,35,6
3579,1962,7,26,-5,-5,-5,213,1,41,10,25,25,49
3580,1961,4,-3,1958,5,1,282,8,-3,20,43,6,45
3581,1960,1,11,1958,2,-5,681,28,12,60,5,27,30
3582,1960,2,-2,1959,5,-5,652,46,37,68,47,13,-3
3583,1963,2,6,1963,7,-5,15,76,11,12,37,35,30
3584,1964,3,30,1964,8,13,423,63,12,27,46,31,-2
3585,1958,2,-2,1958,11,25,495,34,50,71,45,-4,49
3586,1957,9,5,-5,10,15,-1,66,-3,42,42,57,12
3587,1959,7,-2,1961,11,7,443,74,-4,49,4,13,28
3588,1961,10,3,1961,1,-5,112,7,19,27,6,61,13
3589,1963,3,15,1959,4,4,724,47,24,-4,18,4,27
3590,1962,3,6,1964,1,4,267,48,-3,19,7,77,2
3591,1963,1,21,1957,1,3,-2,-4,23,52,-4,36,12
3592,1962,7,-2,1958,4,-5,577,54,44,76,8,64,37
3593,1964,1,5,1957,10,25,560,48,15,-2,1,10,22
3594,1961,8,21,1958,-5,17,113,17,-3,75,-2,1,-2
3595,1962,5,-2,1957,8,13,132,58,18,-3,45,5,47
3596,1960,5,-2,1957,8,22,718,65,21,37,24,-2,-4
3597,1961,6,17,1963,1,29,234,1,-4,26,14,29,2
3598,1963,12,20,1961,4,1,-3,61,-3,-3,45,-4,40
3599,1963,11,-3,1962,10,10,560,30,32,50,30,50,-4
3600,1962,1,10,1959,8,4,511,37,29,-1,-4,-2,23
3601,1962,9,18,-5,7,18,65,48,15,39,20,-4,29
3602,1959,11,10,1961,10,29,326,11,25,25,6,11,14
3603,1962,7,22,1960,-5,2,42,54,27,27,44,57,33
3604,1962,2,5,1957,-5,9,-3,58,14,32,28,53,32
3605,1964,10,8,1961,10,25,388,-3,23,53,35,15,-4
3606,1959,9,18,1958,3,10,-4,71,35,58,-3,60,13
3607,1957,12,-3,1964,10,22,-2,62,6,79,32,-3,13
3608,1960,5,14,-5,10,10,697,-1,35,35,49,-3,37
3609,1964,11,30,1957,12,-5,-2,-2,-4,16,41,27,19
3610,1964,10,24,1958,7,28,465,-1,30,12,-3,-2,-4
3611,1960,3,22,1963,8,29,-4,-3,4,30,-2,32,-2
3612,1957,6,6,1964,-5,7,467,45,18,47,-3,-2,39
3613,1961,8,28,1962,2,26,-3,65,35,70,39,13,-3
3614,1964,1,12,1957,10,29,473,2,47,26,42,-2,27
3615,1957,4,-3,1959,1,5,634,10,-3,-1,45,42,43
3616,1963,4,6,-5,4,-5,40,50,9,46,28,29,3
3617,1963,8,21,1962,-5,-5,-3,47,43,-1,42,54,21
3618,1961,1,28,1962,6,24,825,38,20,61,8,28,12
3619,1961,9,15,1961,-5,18,-1,4,-4,-1,22,1,19
3620,1960,4,-2,1960,9,17,634,36,5,-1,34,50,2
3621,1959,3,12,-5,-5,22,419,66,11,58,39,43,14
3622,1961,11,-2,1957,9,15,-1,-2,35,-2,27,36,-2
3623,1958,9,18,1957,-5,22,492,77,5,-3,30,33,19
3624,1962,4,3,1957,1,25,-3,47,44,2,4,-4,-2
3625,1959,12,-2,1962,5,4,162,16,1,-4,47,-2,33
3626,1961,3,20,1959,10,7,121,70,20,10,-2,72,-3
3627,1957,11,3,1957,-5,28,-2,64,49,43,18,13,49
3628,1961,1,30,-5,5,5,167,17,-4,45,-3,-4,38
3629,1964,1,14,1959,10,9,-1,-1,39,4,8,62,1
3630,1961,9,25,1963,3,22,-2,10,27,61,13,19,33
3631,1960,1,-2,1961,-5,14,-4,39,48,24,49,65,40
3632,1963,8,25,1959,11,4,206,1,16,-1,9,11,-4
3633,1962,1,-2,-5,10,15,373,59,4,43,35,73,19
3634,1962,8,4,1963,5,7,314,48,34,16,29,63,11
3635,1963,12,26,1959,-5,26,826,32,20,18,2,-4,-4
3636,1960,11,-3,1957,1,17,403,55,43,4,17,18,34
3637,1960,6,11,1957,12,13,-4,4,2,-1,24,18,16
3638,1960,2,17,1963,3,-5,752,-2,-4,8,36,37,26
3639,1958,6,12,1962,4,16,229,5,42,3,46,72,23
3640,1961,3,6,1960,4,20,358,17,50,-4,35,61,-3
3641,1959,10,7,-5,5,24,90,-1,-4,21,27,65,28
3642,1964,2,-2,-5,7,12,108,18,29,-1,11,-3,4
3643,1959,3,7,-5,6,28,-1,68,14,20,35,37,3
3644,1962,6,12,-5,3,16,217,14,45,3,50,39,4
3645,1961,7,15,1962,5,28,-3,6,39,65,-3,38,50
3646,1958,11,18,1957,10,14,125,5,-3,50,6,41,8
3647,1961,8,6,1957,1,12,564,7,4,2,-2,79,-3
3648,1957,8,16,1964,2,7,350,30,28,51,39,-2,12
3649,1957,10,23,1964,7,31,-4,18,14,-2,-3,4,13
3650,1961,12,27,1962,11,-5,497,47,20,75,26,20,20
3651,1963,4,-2,1961,10,24,280,41,36,12,24,-4,-4
3652,1964,8,31,1961,1,30,-2,-4,45,39,45,-2,50
3653,1963,4,-2,1957,10,-5,754,-1,31,64,45,79,-4
3654,1963,12,-2,-5,10,-5,616,-3,46,54,-3,-4,50
3655,1961,5,1,1960,8,21,-2,7,29,30,13,31,9
3656,1959,7,18,-5,5,-5,76,50,44,36,-2,51,11
3657,1960,1,1,1964,7,-5,-1,-2,-4,28,38,11,32
3658,1964,1,-3,-5,-5,-5,13,60,49,64,36,-4,45
3659,1959,4,1,1963,2,28,776,57,30,35,-4,72,35
3660,1961,2,20,1959,2,27,811,33,9,77,19,20,9
3661,1961,4,17,1957,7,5,307,34,22,74,34,44,1
3662,1964,10,23,1957,-5,23,379,56,46,61,-4,25,28
3663,1963,2,6,1963,5,3,611,-4,21,19,15,3,10
3664,1964,2,29,1962,11,3,-1,-4,8,17,22,44,39
3665,1963,10,16,-5,9,-5,564,44,29,29,33,69,9
3666,1963,3,20,1964,-5,25,649,-1,-3,70,18,50,40
3667,1958,4,5,1964,2,-5,655,60,23,-3,17,-3,47
3668,1963,12,10,1960,3,-5,160,7,35,-4,11,75,13
3669,1959,2,25,1964,3,2,57,-2,11,34,13,5,6
3670,1960,1,7,1963,7,-5,269,70,20,-2,21,-3,50
3671,1958,4,10,1963,2,6,-2,50,7,5,17,78,34
3672,1961,11,21,1957,8,-5,334,75,43,48,45,56,46
3673,1958,10,15,1963,12,5,575,12,27,54,43,75,-2
3674,1961,7,-3,1963,12,-5,398,67,3,61,-3,15,10
3675,1964,4,24,1959,-5,11,-3,27,14,31,15,-3,-3
3676,1963,3,-3,-5,1,7,225,51,9,36,34,39,26
3677,1959,4,20,1957,9,-5,-3,2,49,64,13,7,40
3678,1962,10,10,1964,11,3,801,39,43,14,22,24,24
3679,1957,10,6,1960,6,21,520,59,45,2,23,27,20
3680,1962,2,27,1964,2,19,551,-2,37,42,13,-4,-4
3681,1962,12,5,-5,11,7,385,52,-4,6,49,-2,6
3682,1962,2,-2,1959,7,-5,667,52,36,5,33,35,20
3683,1957,11,25,1962,7,18,326,-1,26,-2,15,34,39
3684,1962,1,19,-5,8,-5,106,63,8,78,3,50,37
3685,1958,1,12,-5,11,27,764,29,-3,77,20,78,5
3686,1957,5,-2,1957,7,13,-2,56,19,51,22,-3,48
3687,1958,9,-3,-5,-5,-5,-4,64,29,4,48,20,5
3688,1963,10,22,1961,5,-5,76,57,-4,19,48,72,5
3689,1961,12,5,1961,2,-5,269,19,11,25,42,49,-3
3690,1962,12,14,1964,-5,6,245,16,-4,12,44,78,18
3691,1957,1,15,1958,-5,9,-3,2,35,19,43,39,-4
3692,1959,12,9,1962,9,27,442,36,-3,58,42,45,41
3693,1957,1,2,1959,9,2,-4,71,24,-3,8,37,43
3694,1963,4,4,1957,7,29,506,-3,24,43,36,45,-4
3695,1958,5,24,1963,4,21,517,74,3,65,1,11,40
3696,1959,7,4,1962,-5,26,655,3,28,15,30,3,42
3697,1958,3,25,-5,-5,12,703,-4,20,79,19,-3,38
3698,1964,7,14,1964,-5,1,329,79,-3,64,-3,47,6
3699,1963,5,30,1958,4,11,98,-1,-3,5,7,54,15
3700,1962,3,14,1961,11,20,-4,-3,42,59,9,77,8
3701,1957,4,30,1961,8,-5,488,22,-4,7,21,52,33
3702,1962,6,22,1964,-5,4,98,37,1,-3,18,7,9
3703,1960,10,12,1957,-5,27,716,29,42,4,14,52,24
3704,1963,5,-2,1957,-5,7,-2,38,50,59,45,-4,31
3705,1963,1,2,1961,12,25,43,-4,34,16,-2,25,-2
3706,1959,8,-3,-5,3,14,-3,27,45,40,49,10,-4
3707,1959,10,24,1960,4,16,525,46,41,-1,-3,20,43
3708,1962,11,14,1962,8,6,218,39,2,62,14,29,43
3709,1962,10,5,1961,11,14,273,57,-3,24,12,2,27
3710,1961,4,16,1960,10,7,49,38,20,1,13,-4,9
3711,1964,6,9,1961,2,10,697,26,-3,39,15,69,-3
3712,1957,6,10,1957,-5,15,738,14,22,47,22,26,20
3713,1961,1,21,1957,12,11,620,11,-4,31,16,76,42
3714,1963,11,29,1958,12,17,281,-1,42,79,5,9,1
3715,1957,7,24,-5,10,5,360,7,-3,34,46,60,39
3716,1960,7,7,1959,12,-5,468,58,17,78,22,-4,9
3717,1961,7,14,1958,8,22,538,32,34,24,47,-2,26
3718,1961,8,4,1959,5,-5,690,-3,5,59,18,63,13
3719,1959,1,17,1962,3,-5,416,31,34,59,7,9,32
3720,1961,2,-3,1962,12,5,39,50,-4,51,36,11,5
3721,1958,8,31,1962,5,24,508,-1,-3,53,33,35,40
3722,1960,12,18,1958,1,14,-3,74,29,24,8,65,29
3723,1959,11,2,1961,3,13,151,21,-4,43,-4,31,34
3724,1961,3,29,1960,-5,-5,437,-1,40,6,16,-4,41
3725,1962,1,6,1960,3,-5,-3,2,-4,76,10,34,-4
3726,1964,12,17,-5,5,11,-3,2,12,-3,35,13,-2
3727,1959,9,1,1960,8,2,815,47,48,64,12,27,38
3728,1958,4,24,1963,4,27,272,53,11,24,30,29,45
3729,1963,10,16,1963,-5,-5,184,15,46,70,39,-4,30
3730,1957,8,-2,1964,-5,28,824,-2,-4,57,13,71,25
3731,1961,5,16,1963,-5,8,58,23,-3,79,23,76,2
3732,1962,7,15,1962,1,20,707,72,-4,67,25,3,34
3733,1961,1,-2,1959,6,19,-3,26,13,44,-3,18,4
3734,1957,9,24,1964,4,-5,4,-2,32,25,43,-3,3
3735,1962,4,20,1959,9,28,313,42,50,-3,49,32,-2
3736,1964,3,20,1961,2,19,336,-1,28,1,24,-2,49
3737,1958,8,1,1964,10,8,-2,-1,48,21,8,71,-4
3738,1964,7,20,1964,11,16,372,25,22,18,-3,27,-4
3739,1959,3,4,1957,6,30,-1,-1,5,49,11,65,-2
3740,1964,10,16,1964,-5,6,-1,72,11,70,1,75,44
3741,1961,6,28,1964,10,22,558,3,-4,7,23,9,-4
3742,1957,1,11,1962,10,30,626,46,24,64,22,68,27
3743,1957,5,12,1960,4,12,198,33,16,75,48,32,-4
3744,1964,12,14,-5,3,-5,79,8,23,47,46,-4,33
3745,1963,11,22,1959,10,15,451,30,42,65,30,61,-3
3746,1961,8,4,1964,2,14,31,17,-4,22,-4,-4,39
3747,1957,10,-2,-5,4,19,-3,13,28,72,18,39,32
3748,1962,9,18,1957,2,23,367,31,14,31,48,42,21
3749,1958,11,12,1959,7,-5,-4,56,48,4,50,21,46
3750,1962,4,27,1961,5,25,65,72,42,50,12,47,25
3751,1959,1,-3,1962,1,13,831,-4,21,42,20,33,49
3752,1958,6,5,1957,12,20,350,32,12,-3,47,62,7
3753,1963,9,19,1961,-5,-5,131,61,44,68,33,70,33
3754,1960,8,-3,-5,-5,15,231,76,-4,41,30,28,19
3755,1963,10,11,1959,11,9,531,57,14,57,44,72,48
3756,1962,5,-2,1957,11,11,194,69,-3,-2,5,53,48
3757,1961,4,13,1963,8,4,38,62,41,33,39,67,11
3758,1961,3,21,1961,6,14,262,4,15,-1,-2,16,-2
3759,1960,12,-2,1963,1,-5,108,10,-4,1,24,10,40
3760,1962,4,20,1963,9,26,447,10,17,63,-3,57,13
3761,1964,2,25,1959,-5,26,87,24,29,34,-2,70,31
3762,1958,9,8,-5,10,20,690,61,6,8,-3,6,20
3763,1962,7,-3,1962,3,23,159,56,36,31,2,36,21
3764,1961,5,12,1961,6,27,138,23,40,70,19,41,-4
3765,1961,8,22,1961,9,3,94,-1,50,63,7,21,17
3766,1961,4,8,1958,5,20,-2,67,23,79,41,54,42
3767,1958,1,21,1961,-5,12,810,15,41,6,36,3,34
3768,1961,12,12,1960,8,19,-1,79,4,-4,14,5,42
3769,1962,9,15,1963,-5,7,313,-2,2,19,-4,55,7
3770,1960,7,18,-5,3,27,185,-3,10,26,39,-2,-2
3771,1957,4,16,1958,2,14,388,70,20,22,49,56,-3
3772,1961,11,13,1963,2,20,538,50,41,28,50,14,18
3773,1958,7,-3,1959,4,-5,488,-4,49,-2,24,30,20
3774,1961,2,-2,1957,1,12,19,30,16,23,20,18,46
3775,1957,6,20,1957,3,12,148,-3,2,74,-2,-4,-3
3776,1962,1,19,-5,1,2,548,-2,5,-4,7,75,3
3777,1960,9,-3,1960,-5,2,250,72,-4,6,-2,58,48
3778,1961,12,6,1958,3,3,374,65,49,8,-2,50,9
3779,1964,7,3,-5,4,30,-2,49,25,13,22,59,36
3780,1958,11,21,1961,11,2,176,-1,49,75,3,64,48
3781,1961,3,25,1962,9,25,-4,58,30,50,-2,1,3
3782,1958,3,28,1957,11,20,50,79,25,41,-3,-3,-4
3783,1960,12,2,1960,4,-5,112,-4,33,27,44,10,48
3784,1958,10,29,1960,12,29,475,78,4,42,41,41,-4
3785,1964,3,12,1964,-5,4,366,79,-4,41,3,-2,27
3786,1960,5,9,1959,4,19,607,11,34,65,46,-2,45
3787,1958,2,27,1962,7,18,4,-1,26,76,19,69,-2
3788,1963,1,-3,1964,8,12,415,23,18,2,31,12,36
3789,1960,12,11,-5,6,2,672,72,10,35,2,60,7
3790,1957,12,30,1958,12,5,230,67,-3,34,1,49,13
3791,1964,4,14,-5,10,11,658,24,47,28,11,5,18
3792,1957,10,5,1961,12,13,348,50,36,9,45,59,43
3793,1962,5,-3,1960,5,17,-1,70,4,-1,30,23,5
3794,1964,8,31,-5,6,27,521,-4,34,8,-4,29,40
3795,1963,2,26,1963,-5,13,755,63,48,61,36,64,34
3796,1957,5,18,1958,8,24,632,43,8,29,34,66,26
3797,1960,12,20,1959,10,1,675,-3,18,-3,10,9,-4
3798,1959,5,-2,1964,12,2,432,69,41,-2,28,-4,39
3799,1964,9,16,1964,11,7,727,32,18,20,47,30,8
3800,1960,9,23,-5,8,11,261,64,45,72,40,14,3
3801,1963,9,13,1962,4,24,583,43,29,41,-2,79,40
3802,1963,4,19,1962,-5,29,-4,20,42,54,46,38,13
3803,1959,5,-2,1961,6,3,109,28,15,63,-4,46,15
3804,1959,3,24,1964,10,21,248,-4,18,19,-4,24,40
3805,1962,3,5,-5,10,30,167,43,33,60,7,68,14
3806,1958,5,31,-5,8,6,489,4,-4,36,-4,-4,49
3807,1959,1,12,1963,12,-5,546,-4,16,10,27,62,-4
3808,1961,6,7,-5,2,-5,564,43,49,20,-3,24,28
3809,1962,5,-3,1961,-5,19,33,9,47,43,33,50,34
3810,1961,4,19,1958,7,10,516,43,50,71,10,4,45
3811,1962,11,13,1957,-5,18,622,56,-3,54,21,-2,23
3812,1961,10,-2,1964,6,20,813,59,28,57,45,61,18
3813,1960,2,-2,1959,8,-5,31,46,44,18,9,49,31
3814,1957,12,10,1963,10,15,-2,68,-4,59,2,8,-2
3815,1961,11,8,1958,1,27,770,48,24,66,28,17,-4
3816,1958,7,20,-5,8,24,493,-1,26,34,30,30,44
3817,1958,10,20,1960,10,19,771,56,-4,40,-2,8,22
3818,1958,11,5,1964,-5,7,-1,53,12,68,12,12,35
3819,1958,10,27,1957,4,26,439,8,11,24,-3,75,40
3820,1964,11,25,1964,9,28,831,-3,-4,-2,17,21,23
3821,1964,7,27,-5,-5,5,-2,10,45,13,29,8,-3
3822,1960,6,-3,1964,-5,29,164,10,34,40,37,-2,5
3823,1960,5,22,-5,7,18,395,3,27,56,34,49,44
3824,1959,7,27,1961,7,-5,601,24,-4,43,30,65,17
3825,1964,4,18,1964,11,19,763,10,5,53,28,65,-3
3826,1961,2,24,1964,8,14,835,41,50,-4,37,24,-2
3827,1963,5,21,1959,11,29,592,-3,-4,69,29,60,15
3828,1964,4,22,1959,-5,8,39,68,12,-2,33,54,-4
3829,1958,5,2,1961,5,31,635,33,35,-3,45,27,32
3830,1959,3,3,-5,-5,-5,533,51,3,51,29,10,33
3831,1959,12,7,1957,-5,14,733,55,-4,73,7,-3,31
3832,1960,1,23,1960,4,8,70,-1,32,-1,-2,35,33
3833,1964,3,24,1959,-5,29,-4,7,7,52,-2,20,22
3834,1958,4,17,-5,11,23,41,14,6,8,21,74,16
3835,1958,7,22,1960,4,13,70,70,6,9,29,47,-4
3836,1957,12,3,1958,12,14,361,-1,1,10,19,38,45
3837,1960,5,28,1957,2,12,543,77,46,-2,-4,-4,12
3838,1962,1,15,1961,8,-5,486,12,25,71,37,4,40
3839,1961,9,-3,1962,6,1,130,-4,44,5,-4,8,6
3840,1960,4,23,1960,-5,15,89,3,20,22,17,-3,42
3841,1962,11,8,-5,5,-5,-2,-3,20,11,13,75,-2
3842,1958,2,8,-5,8,30,665,76,22,2,46,-4,-4
3843,1962,1,7,-5,9,4,430,-2,23,4,1,71,16
3844,1959,7,9,1957,10,13,343,-1,4,-1,15,21,40
3845,1962,3,8,1960,-5,25,782,16,6,-2,34,67,4
3846,1957,12,23,-5,9,3,-4,-1,35,68,-3,15,23
3847,1958,2,-2,1961,12,10,99,11,3,15,22,50,49
3848,1964,6,28,1961,3,9,680,3,45,42,3,46,27
